ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
54,History,5401,History,540101,General History,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,89,new-york-university,general-history
54,History,5401,History,540104,History & Philosophy of Science & Technology,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,10,new-york-university,history-philosophy-of-science-technology
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,6,new-york-university,american-us-studies
5,Cultural & Gender Studies,501,Area Studies,50103,Asian Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,asian-studies
5,Cultural & Gender Studies,501,Area Studies,50104,East Asian Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,13,new-york-university,east-asian-studies
5,Cultural & Gender Studies,501,Area Studies,50106,European Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,3,new-york-university,european-studies
5,Cultural & Gender Studies,501,Area Studies,50107,Latin American Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,2,new-york-university,latin-american-studies
5,Cultural & Gender Studies,501,Area Studies,50108,Near & Middle Eastern Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,16,new-york-university,near-middle-eastern-studies
5,Cultural & Gender Studies,501,Area Studies,50130,Spanish & Iberian Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,spanish-iberian-studies
5,Cultural & Gender Studies,501,Area Studies,50199,Other Area Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-area-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50200,Ethnic Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,2,new-york-university,ethnic-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50201,African-American & Black Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,1,new-york-university,african-american-black-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50206,Asian-American Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,1,new-york-university,asian-american-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50299,"Other Ethnic, Minority, Gender, & Group Studies",2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,7,new-york-university,other-ethnic-minority-gender-group-studies
9,Communications,901,Communication and Media Studies,90101,Speech Communication & Rhetoric,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,speech-communication-rhetoric
9,Communications,901,Communication and Media Studies,90199,Other Communication & Media Studies,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-communication-media-studies
9,Communications,904,Journalism,90401,Journalism,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,120,new-york-university,journalism-090401
9,Communications,907,"Radio, Television, & Digital Communication",90702,Digital Communication & Multimedia,2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,267,new-york-university,digital-communication-multimedia
9,Communications,999,Other Communication Studies,99999,"Other Communication, Journalism, & Related Programs",2017,2017,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-communication-journalism-related-programs
